시도명,시군구명,도로명(가로)명,설치위치,설치지점,쓰레기통 종류,관리기관명,관리기관전화번호,데이터기준일자
서울특별시,강남구,압구정로,버버리 코리아,도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,압구정로,버버리 코리아,도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,베스킨라빈스 청담사거리점,도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,베스킨라빈스 청담사거리점,도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,미니스톱(청수빌딩),"정류소(버스, 택시 등)",일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,미니스톱(청수빌딩),"정류소(버스, 택시 등)",재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,탐앤탐스 청담점,도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,탐앤탐스 청담점,도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,밀레,도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,밀레,도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,국민은행 학동사거리점,도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,국민은행 학동사거리점,도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,쉐이크쉑 청담점,"정류소(버스, 택시 등)",일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,쉐이크쉑 청담점,"정류소(버스, 택시 등)",재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,바카라(313빌딩),도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,바카라(313빌딩),도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,한성모터스(학빌딩),도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,한성모터스(학빌딩),도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,마세라티 강남전시장,"정류소(버스, 택시 등)",일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,마세라티 강남전시장,"정류소(버스, 택시 등)",재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,바른약국,도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,바른약국,도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,KT 신사점,"정류소(버스, 택시 등)",일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,KT 신사점,"정류소(버스, 택시 등)",재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,신사역 8번출구,지하철역 입구,일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,신사역 8번출구,지하철역 입구,재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,신사역 7번출구,지하철역 입구,일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,신사역 7번출구,지하철역 입구,재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,신사역 2번출구,지하철역 입구,일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,신사역 2번출구,지하철역 입구,재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,신사역 1번출구,지하철역 입구,일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,신사역 1번출구,지하철역 입구,재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,청호빌딩,"정류소(버스, 택시 등)",일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,청호빌딩,"정류소(버스, 택시 등)",재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,애플(페이토빌딩),도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,애플(페이토빌딩),도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,을지병원,도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,을지병원,도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,에이스침대,도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,에이스침대,도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,아우디 도산대로전시장,도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,아우디 도산대로전시장,도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,신한은행 도산대로지점,"정류소(버스, 택시 등)",일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,신한은행 도산대로지점,"정류소(버스, 택시 등)",재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,삼성,도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,삼성,도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,하나금융프라자 학동지점,도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,하나금융프라자 학동지점,도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,포르쉐스튜디오,도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,포르쉐스튜디오,도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,SSG푸드마켓 청담점,"정류소(버스, 택시 등)",일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,SSG푸드마켓 청담점,"정류소(버스, 택시 등)",재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,보테가라운지,도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,보테가라운지,도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,청담빌딩,도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,청담빌딩,도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,스타벅스 청담점,"정류소(버스, 택시 등)",일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,스타벅스 청담점,"정류소(버스, 택시 등)",재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,프리마호텔,도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,도산대로,프리마호텔,도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,세븐일레븐 청담루나점,"정류소(버스, 택시 등)",일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,세븐일레븐 청담루나점,"정류소(버스, 택시 등)",재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,진흥아파트 5동 앞,지하철역 입구,일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,진흥아파트 5동 앞,지하철역 입구,재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,청담역 11번출구,지하철역 입구,일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,청담역 11번출구,지하철역 입구,재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,청담역 10번출구,지하철역 입구,일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,청담역 10번출구,지하철역 입구,재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,강남세무서,"정류소(버스, 택시 등)",일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,강남세무서,"정류소(버스, 택시 등)",재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,삼성아파트 101동 앞,"정류소(버스, 택시 등)",일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,삼성아파트 101동 앞,"정류소(버스, 택시 등)",재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,강남구청역 4번출구,지하철역 입구,일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,강남구청역 4번출구,지하철역 입구,재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,강남구청역 3번출구,지하철역 입구,일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,강남구청역 3번출구,지하철역 입구,재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,T-WORLD(HOSIG 타워),"정류소(버스, 택시 등)",일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,T-WORLD(HOSIG 타워),"정류소(버스, 택시 등)",재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,바나프레소 세관사거리점,도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,바나프레소 세관사거리점,도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,서울제이에스병원,"정류소(버스, 택시 등)",일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,서울제이에스병원,"정류소(버스, 택시 등)",재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,논현2동 파출소,도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,논현2동 파출소,도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,학동역9번 출구,지하철역 입구,일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,학동역9번 출구,지하철역 입구,재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,학동역6번 출구,지하철역 입구,일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,학동역6번 출구,지하철역 입구,재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,삼익뮤직프라자,"정류소(버스, 택시 등)",일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,삼익뮤직프라자,"정류소(버스, 택시 등)",재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,나뚜찌,도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,나뚜찌,도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,포레힐호텔,"정류소(버스, 택시 등)",일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,포레힐호텔,"정류소(버스, 택시 등)",재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,논현역8번 출구,지하철역 입구,일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,논현역8번 출구,지하철역 입구,재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,영동가구(학동로106),"정류소(버스, 택시 등)",일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,영동가구(학동로106),"정류소(버스, 택시 등)",재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,학동역5번 출구,지하철역 입구,일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,학동역5번 출구,지하철역 입구,재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,학동역2번 출구,지하철역 입구,일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,학동역2번 출구,지하철역 입구,재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,학동역1번 출구,지하철역 입구,일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,학동역1번 출구,지하철역 입구,재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,쌍용자동차 강남논현전시장,도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,쌍용자동차 강남논현전시장,도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,카페마스터,"정류소(버스, 택시 등)",일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,카페마스터,"정류소(버스, 택시 등)",재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,정관장 강남구청역점,"정류소(버스, 택시 등)",일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,정관장 강남구청역점,"정류소(버스, 택시 등)",재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,허브프라자,도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,허브프라자,도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,서광아파트 101동앞,"정류소(버스, 택시 등)",일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,서광아파트 101동앞,"정류소(버스, 택시 등)",재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,삼성월드 아파트 앞,도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,삼성월드 아파트 앞,도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,한솔아파트 101동 앞,도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,한솔아파트 101동 앞,도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,강남구청,도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,강남구청,도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,강남구청,"정류소(버스, 택시 등)",일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,강남구청,"정류소(버스, 택시 등)",재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,상아아파트1동(학동로446),도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,상아아파트1동(학동로446),도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,청담역4번 출구,지하철역 입구,일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,청담역4번 출구,지하철역 입구,재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,청담불한증막,"정류소(버스, 택시 등)",일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,학동로,청담불한증막,"정류소(버스, 택시 등)",재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,봉은사로,삼성라테라스아파트,도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,봉은사로,삼성라테라스아파트,도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,봉은사로,달콤커피 삼성점,"정류소(버스, 택시 등)",일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,봉은사로,달콤커피 삼성점,"정류소(버스, 택시 등)",재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,봉은사로,미켈란107,도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,봉은사로,미켈란107,도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,봉은사로,봉은사역 1번출구,도로변(횡단보도 포함),일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,봉은사로,봉은사역 1번출구,도로변(횡단보도 포함),재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,봉은사로,GS25 봉은사점,"정류소(버스, 택시 등)",일반쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
서울특별시,강남구,봉은사로,GS25 봉은사점,"정류소(버스, 택시 등)",재활용쓰레기,서울특별시 강남구청,02-3423-5973,2020-06-30
